Contiguous U.S. Average Temperature
Units: Degrees Fahrenheit
Base Period: 1895-2023
Missing: -99
Date,Value,Anomaly
198312,25.47,-7.58
198401,28.83,-1.76
198402,37.38,3.51
198403,40.08,-1.72
198404,49.60,-1.66
198405,60.08,-0.33
198406,68.61,-0.18
198407,73.17,-0.66
198408,73.13,0.79
198409,63.14,-2.03
198410,53.60,-0.61
198411,41.54,-0.46
198412,34.54,1.49
198501,26.31,-4.28
198502,30.87,-3.00
198503,43.48,1.68
198504,54.36,3.10
198505,62.08,1.67
198506,68.11,-0.68
198507,74.05,0.22
198508,71.02,-1.32
198509,62.73,-2.44
198510,54.30,0.09
198511,39.51,-2.49
198512,28.81,-4.24
198601,34.68,4.09
198602,35.85,1.98
198603,46.18,4.38
198604,52.86,1.60
198605,61.09,0.68
198606,70.41,1.62
198607,73.51,-0.32
198608,71.73,-0.61
198609,63.70,-1.47
198610,54.01,-0.20
198611,41.40,-0.60
198612,34.43,1.38
198701,31.44,0.85
198702,37.38,3.51
198703,42.57,0.77
198704,53.53,2.27
198705,62.96,2.55
198706,70.25,1.46
198707,73.27,-0.56
198708,71.87,-0.47
198709,65.25,0.08
198710,52.95,-1.26
198711,43.97,1.97
198712,34.54,1.49
198801,27.79,-2.80
198802,33.69,-0.18
198803,42.40,0.60
198804,51.82,0.56
198805,61.21,0.80
198806,70.88,2.09
198807,74.79,0.96
198808,73.67,1.33
198809,64.60,-0.57
198810,53.96,-0.25
198811,43.29,1.29
198812,33.46,0.41
198901,34.09,3.50
198902,29.17,-4.70
198903,42.67,0.87
198904,52.88,1.62
198905,60.46,0.05
198906,68.13,-0.66
198907,74.23,0.40
198908,71.31,-1.03
198909,64.08,-1.09
198910,54.34,0.13
198911,42.93,0.93
198912,27.73,-5.32
199001,36.50,5.91
199002,36.70,2.83
199003,44.74,2.94
199004,52.52,1.26
199005,58.86,-1.55
199006,70.23,1.44
199007,73.26,-0.57
199008,72.28,-0.06
199009,67.35,2.18
199010,53.98,-0.23
199011,44.92,2.92
199012,30.83,-2.22
199101,29.48,-1.11
199102,39.81,5.94
199103,43.32,1.52
199104,52.54,1.28
199105,61.97,1.56
199106,69.08,0.29
199107,73.89,0.06
199108,72.99,0.65
199109,64.90,-0.27
199110,54.75,0.54
199111,39.43,-2.57
199112,35.74,2.69
199201,33.62,3.03
199202,39.70,5.83
199203,44.71,2.91
199204,52.54,1.28
199205,61.16,0.75
199206,67.44,-1.35
199207,71.22,-2.61
199208,69.84,-2.50
199209,64.67,-0.50
199210,54.54,0.33
199211,40.06,-1.94
199212,31.75,-1.30
199301,30.47,-0.12
